transaction_id,customer_id,product_id,category,quantity_sold,unit_price,store_id,weather_conditions,holiday_indicator,target
125,1791,166,Electronics,7,208.28,9,Stormy,True,1
126,4993,195,Electronics,8,620.62,1,Rainy,False,0
127,3264,166,Electronics,6,745.45,4,Sunny,False,1
128,1763,126,Groceries,9,740.54,4,Sunny,True,1
129,3235,192,Electronics,3,526.23,2,Cloudy,False,1
130,1379,131,Electronics,4,77.77,6,Sunny,True,1
131,1492,149,Clothing,6,377.4,3,Sunny,False,1
132,4112,160,Clothing,8,921.56,7,Rainy,False,0
133,2180,150,Clothing,5,588.6,5,Rainy,False,1
134,3062,118,Electronics,3,542.95,4,Rainy,False,0
135,4884,120,Electronics,6,276.16,5,Sunny,False,0
136,1064,104,Clothing,4,374.76,8,Sunny,False,0
137,4928,181,Electronics,9,896.39,3,Rainy,False,1
138,4910,191,Electronics,3,669.8,7,Stormy,False,0
139,3568,141,Electronics,4,789.51,6,Cloudy,True,0
140,2367,160,Electronics,7,459.8,1,Stormy,False,1
141,2152,121,Electronics,7,633.94,7,Cloudy,False,1
142,3027,120,Electronics,4,255.9,7,Rainy,True,1
143,3695,169,Clothing,6,708.41,1,Sunny,False,1
144,2495,100,Clothing,3,433.33,9,Rainy,True,0
145,4134,104,Groceries,6,448.12,6,Rainy,False,0
146,2162,111,Electronics,2,652.83,2,Rainy,False,0
147,2522,189,Electronics,8,936.92,5,Rainy,True,1
148,3640,145,Electronics,2,73.37,4,Rainy,False,1
149,1391,133,Clothing,7,826.5,7,Sunny,False,0
150,2698,148,Clothing,9,299.46,8,Rainy,False,1
151,1418,177,Electronics,1,449.48,1,Sunny,False,1
152,3336,189,Groceries,8,31.69,5,Cloudy,False,1
153,1378,144,Electronics,7,308.04,3,Sunny,False,0
154,2796,126,Clothing,6,507.6,1,Sunny,False,0
155,4561,172,Clothing,6,65.61,3,Rainy,False,0
156,3278,125,Groceries,6,496.18,6,Rainy,False,1
157,4065,146,Clothing,9,927.84,7,Rainy,False,0
158,3088,185,Groceries,2,114.34,8,Sunny,False,0
159,4099,155,Electronics,1,766.8,4,Rainy,False,0
160,3182,193,Groceries,6,415.57,3,Sunny,False,1
161,1200,162,Electronics,8,658.62,5,Stormy,False,1
162,2863,147,Groceries,3,267.63,9,Stormy,False,1
163,1779,160,Clothing,1,167.9,6,Rainy,False,0
164,3977,180,Groceries,9,168.86,9,Sunny,False,1
165,4104,125,Electronics,1,79.79,6,Cloudy,False,1
166,4119,135,Clothing,3,193.79,2,Sunny,False,1
167,1502,100,Clothing,8,667.58,5,Rainy,False,0
168,3454,107,Clothing,3,882.87,9,Sunny,False,1
169,4645,198,Electronics,4,815.98,8,Stormy,True,1
170,2751,151,Electronics,8,688.28,7,Sunny,False,0
171,1804,178,Electronics,1,119.33,1,Rainy,False,0
172,3146,146,Electronics,6,296.3,4,Cloudy,False,0
173,3731,155,Groceries,1,316.71,7,Rainy,True,1
174,2895,185,Electronics,1,257.46,7,Sunny,False,0
175,3773,113,Groceries,8,519.86,6,Stormy,False,0
176,2570,189,Electronics,4,540.2,8,Rainy,True,0
177,1960,127,Electronics,1,363.32,6,Rainy,False,1
178,4810,186,Clothing,7,360.25,3,Sunny,False,1
179,3660,177,Clothing,5,830.27,4,Rainy,False,0
180,2485,187,Electronics,5,791.4,3,Rainy,False,1
181,3690,101,Clothing,1,314.72,1,Sunny,False,1
182,4840,125,Clothing,6,914.65,5,Sunny,False,1
183,2028,113,Electronics,9,953.29,1,Cloudy,False,0
184,4289,158,Groceries,9,333.48,1,Sunny,False,0
185,1502,155,Groceries,8,360.88,2,Sunny,False,0
186,3814,106,Clothing,5,510.58,4,Rainy,False,1
187,1397,102,Electronics,1,941.71,6,Cloudy,False,1
188,1870,122,Clothing,9,877.56,8,Sunny,False,0
189,3842,117,Electronics,1,111.54,3,Rainy,False,1
190,1392,137,Electronics,8,398.8,1,Sunny,True,1
191,1206,198,Electronics,5,557.84,3,Sunny,False,0
192,2038,114,Electronics,3,508.1,3,Sunny,False,1
193,2881,163,Groceries,7,201.92,5,Cloudy,False,0
194,4625,188,Clothing,7,860.23,4,Sunny,False,0
195,3939,127,Clothing,9,680.17,4,Sunny,False,1
196,2484,173,Electronics,7,839.53,9,Rainy,False,1
197,4762,138,Electronics,3,860.18,7,Cloudy,True,0
198,4646,156,Electronics,1,750.87,4,Sunny,False,0
199,1863,116,Groceries,8,444.82,3,Rainy,True,0
200,3790,185,Electronics,3,614.44,6,Sunny,False,1
201,4312,189,Groceries,8,168.76,3,Rainy,False,1
202,1563,143,Clothing,8,676.91,6,Rainy,False,0
203,2020,124,Electronics,5,187.46,9,Rainy,False,0
204,1095,116,Clothing,1,697.01,6,Sunny,False,1
205,2923,112,Electronics,7,237.3,4,Sunny,True,1
206,2757,183,Groceries,5,126.38,5,Sunny,True,0
207,3532,124,Groceries,8,173.63,6,Sunny,False,1
208,4478,167,Electronics,9,11.97,3,Sunny,True,1
209,3278,109,Electronics,7,721.55,8,Cloudy,True,0
210,3796,166,Clothing,7,735.08,4,Stormy,False,1
211,2678,117,Groceries,1,519.78,8,Stormy,False,1
212,4242,199,Electronics,4,169.75,3,Cloudy,False,0
213,1540,185,Clothing,2,92.72,7,Rainy,False,1
214,2059,133,Clothing,2,28.94,9,Cloudy,False,0
215,3572,107,Clothing,2,174.09,4,Sunny,False,1
216,2183,139,Electronics,4,891.95,8,Rainy,False,0
217,4910,182,Clothing,1,249.12,3,Rainy,False,0
218,2722,141,Groceries,4,360.73,7,Rainy,False,1
219,4314,140,Electronics,2,114.29,3,Cloudy,False,0
220,4157,105,Electronics,5,230.14,7,Sunny,False,1
221,2819,151,Groceries,3,524.03,6,Sunny,True,1
222,3625,125,Electronics,8,611.68,2,Stormy,True,0
223,3729,163,Groceries,4,252.9,3,Sunny,True,0
224,3604,197,Electronics,1,67.15,6,Rainy,False,1
225,2597,158,Electronics,1,397.12,4,Stormy,False,1
226,4060,155,Groceries,3,241.86,6,Rainy,False,0
227,3693,158,Electronics,9,227.36,1,Rainy,False,0
228,1795,169,Clothing,7,960.26,1,Sunny,False,1
229,2051,132,Electronics,2,620.14,3,Sunny,True,0
230,2643,152,Clothing,9,561.31,8,Cloudy,False,1
231,4627,121,Electronics,2,421.62,8,Rainy,False,0
232,2363,120,Electronics,3,434.65,4,Rainy,False,1
233,4869,169,Groceries,2,545.5,6,Sunny,False,0
234,2981,169,Electronics,3,699.47,8,Sunny,True,1
235,2354,103,Clothing,6,705.12,7,Stormy,True,0
236,2663,193,Electronics,9,179.98,7,Sunny,True,0
237,2529,174,Clothing,9,505.11,4,Rainy,False,1
238,3038,161,Electronics,7,417.84,9,Sunny,False,0
239,4419,161,Groceries,3,871.82,6,Rainy,False,1
240,2496,193,Electronics,4,635.1,3,Stormy,False,1
241,4302,194,Electronics,6,537.18,5,Rainy,False,1
242,3237,123,Electronics,5,124.24,5,Sunny,False,0
243,4296,154,Electronics,2,609.58,5,Rainy,True,1
244,2408,108,Clothing,6,126.03,8,Cloudy,False,0
245,2400,102,Electronics,3,343.83,9,Rainy,False,1
246,2306,130,Groceries,8,151.41,9,Cloudy,True,1
247,3680,139,Electronics,2,695.15,6,Rainy,False,1
248,3675,135,Electronics,1,214.19,6,Cloudy,False,0
249,1972,123,Clothing,9,397.94,9,Rainy,False,1
250,2768,194,Clothing,3,896.72,4,Sunny,False,1
251,2282,105,Electronics,1,212.27,6,Sunny,False,0
252,4430,165,Electronics,7,512.73,4,Sunny,False,0
253,1709,183,Electronics,5,425.08,1,Stormy,True,0
254,2479,191,Clothing,5,27.94,7,Cloudy,True,1
255,2434,174,Clothing,1,794.83,6,Rainy,True,1
256,1648,103,Electronics,9,78.36,9,Sunny,True,0
257,1317,178,Groceries,7,479.51,7,Sunny,False,1
258,4748,105,Groceries,8,565.07,7,Cloudy,False,0
259,4296,193,Clothing,9,632.14,2,Rainy,True,0
260,4890,150,Groceries,6,691.75,9,Sunny,False,1
261,2257,161,Electronics,5,260.74,9,Rainy,True,0
262,1683,156,Electronics,6,19.88,6,Sunny,False,0
263,1663,165,Electronics,2,726.21,3,Sunny,False,1
264,2998,178,Electronics,4,540.3,1,Rainy,False,0
265,4898,174,Clothing,3,837.76,4,Sunny,False,1
266,4445,107,Groceries,7,823.17,3,Stormy,False,1
267,4743,125,Electronics,9,844.89,1,Sunny,False,1
268,2631,150,Electronics,5,490.24,3,Sunny,False,0
269,2495,144,Electronics,6,340.29,4,Sunny,True,0
270,4304,143,Groceries,2,793.64,8,Cloudy,True,0
271,4763,104,Electronics,3,456.78,9,Rainy,True,0
272,2136,169,Clothing,3,191.61,3,Rainy,False,0
273,2853,125,Electronics,9,856.42,6,Sunny,True,0
274,2520,167,Electronics,7,883.73,5,Sunny,False,0
275,3489,118,Groceries,8,471.65,6,Rainy,False,0
276,1563,183,Groceries,9,84.94,4,Cloudy,False,0
277,2291,196,Electronics,6,393.95,6,Cloudy,False,0
278,4581,119,Groceries,4,805.5,7,Sunny,True,0
279,4878,111,Clothing,1,902.76,9,Rainy,True,1
280,4457,146,Groceries,8,211.44,7,Stormy,False,1
281,4458,100,Electronics,7,76.3,6,Sunny,False,1
282,4184,189,Clothing,2,878.58,1,Cloudy,False,0
283,2636,113,Electronics,8,395.51,2,Sunny,True,1
284,4696,163,Clothing,5,546.34,1,Stormy,False,0
285,3999,137,Electronics,7,968.39,9,Cloudy,True,1
286,4152,136,Electronics,4,75.9,9,Stormy,False,1
287,1698,110,Electronics,5,651.83,7,Rainy,False,1
288,3160,199,Clothing,8,83.36,2,Sunny,False,0
289,1001,176,Electronics,1,381.71,6,Stormy,True,1
290,1641,102,Clothing,1,805.78,4,Sunny,True,0
291,3267,132,Groceries,4,439.14,1,Sunny,False,1
292,2589,105,Electronics,3,997.21,1,Cloudy,False,0
293,1854,149,Clothing,2,563.47,5,Cloudy,False,1
294,2759,109,Electronics,3,327.95,2,Stormy,False,0
295,4296,104,Groceries,1,227.91,4,Sunny,False,0
296,3432,122,Electronics,1,357.02,1,Cloudy,True,1
297,4474,109,Clothing,6,378.81,4,Cloudy,False,1
298,2661,143,Groceries,5,78.03,6,Sunny,False,0
299,2153,101,Groceries,8,375.88,4,Sunny,False,1
300,2076,112,Clothing,2,469.6,1,Sunny,True,1
301,2707,139,Electronics,4,725.51,7,Sunny,False,1
302,3777,101,Clothing,8,660.16,2,Stormy,False,1
303,2695,183,Groceries,6,711.68,9,Rainy,False,1
304,2733,164,Clothing,1,18.28,3,Cloudy,False,1
305,2439,162,Electronics,4,225.49,8,Stormy,True,0
306,3294,172,Groceries,1,665.07,8,Sunny,False,0
307,1835,116,Clothing,2,489.15,3,Cloudy,False,0
308,4510,108,Clothing,5,15.26,4,Rainy,False,1
309,1202,174,Electronics,8,806.45,2,Cloudy,False,0
310,4255,114,Clothing,8,775.08,4,Sunny,True,0
311,1122,123,Electronics,3,552.93,9,Stormy,False,1
312,1400,137,Clothing,4,75.8,2,Sunny,True,1
313,1766,134,Electronics,6,768.85,3,Sunny,False,1
314,1293,193,Clothing,3,587.88,4,Cloudy,False,1
315,3327,194,Groceries,2,784.14,5,Sunny,False,1
316,4908,148,Electronics,6,754.23,1,Rainy,False,1
317,3931,168,Groceries,5,804.97,7,Rainy,True,0
318,4681,161,Electronics,5,522.83,7,Cloudy,False,1
319,1197,159,Groceries,5,148.92,9,Sunny,False,1
320,4029,149,Clothing,5,674.45,4,Sunny,True,1
321,2930,177,Clothing,3,624.27,6,Sunny,False,0
322,4582,174,Clothing,7,744.83,2,Rainy,False,0
323,3799,108,Groceries,6,178.18,4,Sunny,True,0
324,3191,133,Electronics,4,203.03,2,Sunny,False,1
325,1608,175,Electronics,2,891.51,5,Sunny,True,0
326,4272,198,Clothing,9,752.48,7,Sunny,False,0
327,2147,134,Groceries,1,909.15,1,Rainy,True,0
328,1186,100,Clothing,4,761.13,7,Cloudy,False,0
329,4397,139,Clothing,1,601.18,6,Sunny,False,0
330,3511,163,Electronics,6,657.59,6,Rainy,False,1
331,4420,121,Groceries,4,890.24,8,Rainy,False,0
332,2794,159,Electronics,5,583.02,8,Rainy,False,0
333,1659,163,Clothing,5,636.07,6,Cloudy,False,1
334,3811,192,Electronics,9,164.91,3,Rainy,True,0
335,4002,171,Electronics,1,479.18,5,Rainy,False,1
336,2955,110,Electronics,2,719.23,2,Sunny,False,1
337,3450,113,Electronics,6,278.23,5,Rainy,False,1
338,2369,159,Clothing,5,210.23,9,Rainy,False,0
339,2986,129,Electronics,7,320.69,1,Sunny,False,1
340,2534,134,Electronics,3,249.09,5,Sunny,False,0
341,1146,184,Electronics,3,222.76,6,Stormy,False,1
342,4219,136,Electronics,2,430.6,7,Rainy,True,1
343,3911,104,Electronics,3,908.76,9,Rainy,False,1
344,2734,182,Electronics,1,511.99,6,Stormy,False,1
345,2843,177,Clothing,5,196.04,5,Cloudy,False,0
346,1488,125,Clothing,5,86.2,7,Rainy,False,0
347,3976,161,Clothing,7,699.19,1,Cloudy,True,0
348,2959,103,Electronics,4,388.97,5,Cloudy,False,0
349,2663,188,Electronics,3,823.61,2,Rainy,False,1
350,3598,141,Groceries,1,662.92,4,Rainy,True,0
351,3385,188,Clothing,8,798.28,7,Sunny,False,0
352,3919,117,Electronics,3,279.23,5,Stormy,True,0
353,1640,139,Electronics,2,695.44,6,Rainy,False,1
354,2802,171,Electronics,4,271.42,2,Sunny,True,1
355,3520,138,Electronics,3,939.68,3,Cloudy,False,1
356,2969,113,Electronics,1,640.01,7,Rainy,False,1
357,3198,131,Clothing,3,331.27,2,Sunny,False,0
358,2438,150,Clothing,2,276.82,6,Rainy,False,1
359,4369,137,Clothing,8,199.02,5,Rainy,False,1
360,2634,196,Clothing,6,697.69,1,Cloudy,False,0
361,1262,122,Groceries,9,226.53,4,Sunny,True,1
362,2787,162,Clothing,8,599.35,2,Cloudy,False,0
363,3191,114,Groceries,3,271.99,4,Rainy,True,0
364,3393,196,Electronics,5,665.35,1,Sunny,False,1
365,1623,124,Electronics,7,816.79,2,Stormy,False,0
366,2016,116,Electronics,5,780.24,8,Rainy,False,1
367,4643,196,Clothing,8,763.24,6,Sunny,False,1
368,1880,165,Groceries,5,195.85,2,Rainy,True,0
369,3049,177,Electronics,1,97.5,6,Cloudy,False,1
370,3944,152,Groceries,5,701.96,9,Sunny,False,1
371,2327,150,Electronics,4,374.66,7,Sunny,False,1
372,3301,138,Groceries,6,438.02,9,Sunny,False,0
373,4723,150,Electronics,3,40.84,5,Sunny,True,1
374,1452,169,Electronics,5,266.98,7,Cloudy,False,1
375,4108,105,Electronics,2,43.34,7,Rainy,False,1
376,2183,166,Electronics,6,880.39,3,Sunny,False,0
377,4062,106,Electronics,6,250.96,7,Sunny,False,1
378,3056,150,Electronics,5,561.76,1,Sunny,False,0
379,4304,171,Groceries,6,48.59,9,Stormy,False,1
380,4170,141,Clothing,7,670.18,6,Sunny,True,0
381,2682,163,Electronics,5,329.8,5,Stormy,False,1
382,3863,114,Clothing,1,898.94,7,Rainy,False,0
383,3255,128,Clothing,8,889.24,5,Sunny,False,0
384,2154,132,Electronics,4,332.04,5,Cloudy,False,0
385,1403,193,Electronics,9,901.95,7,Rainy,False,1
386,3199,126,Electronics,6,996.2,7,Cloudy,False,1
387,3101,135,Electronics,1,827.16,3,Stormy,False,1
388,4191,128,Clothing,3,846.42,3,Sunny,False,0
389,2696,137,Electronics,3,256.52,3,Sunny,False,0
390,4991,156,Clothing,4,580.94,6,Cloudy,False,0
391,1627,196,Clothing,6,76.58,6,Sunny,True,0
392,1586,126,Electronics,7,103.97,3,Sunny,False,1
393,2648,154,Clothing,4,998.9,3,Sunny,False,0
394,2443,132,Electronics,6,333.37,8,Sunny,False,0
395,2445,167,Groceries,1,750.7,8,Cloudy,False,1
396,1103,185,Electronics,8,808.6,7,Sunny,False,1
397,4923,165,Groceries,7,859.44,4,Rainy,False,0
398,1253,109,Clothing,9,997.65,4,Rainy,True,1
399,4298,104,Electronics,3,249.08,3,Rainy,False,0
400,4183,173,Clothing,2,49.95,5,Sunny,False,0
401,3557,196,Groceries,1,417.08,3,Cloudy,False,1
402,2496,137,Clothing,3,138.78,8,Sunny,False,0
403,1098,112,Groceries,5,32.2,7,Cloudy,False,1
404,3200,130,Groceries,2,366.82,3,Cloudy,False,0
405,2884,146,Electronics,3,785.9,9,Rainy,False,0
406,3961,199,Electronics,4,570.52,5,Rainy,False,1
407,2919,187,Clothing,7,319.65,9,Rainy,False,1
408,1877,151,Electronics,3,657.8,7,Sunny,False,1
409,1337,155,Groceries,9,239.7,7,Cloudy,False,0
410,4777,114,Groceries,8,24.24,6,Cloudy,False,0
411,3869,128,Electronics,4,766.71,2,Sunny,False,1
412,4234,107,Electronics,1,627.51,9,Rainy,False,1
413,4791,104,Clothing,1,764.68,6,Stormy,False,0
414,1956,128,Electronics,1,48.55,8,Stormy,False,0
415,2704,146,Groceries,1,838.75,1,Rainy,False,1
416,1160,167,Electronics,8,623.33,5,Rainy,False,1
417,2603,175,Clothing,3,567.76,1,Sunny,False,1
418,3848,144,Electronics,6,628.37,8,Stormy,False,1
419,1397,101,Clothing,3,865.79,8,Sunny,False,1
420,2300,126,Electronics,5,591.07,1,Rainy,True,1
421,1815,194,Clothing,7,585.14,9,Sunny,False,1
422,4987,135,Electronics,2,990.77,2,Sunny,False,0
423,2527,135,Clothing,6,759.16,9,Rainy,False,0
424,2919,125,Groceries,6,447.87,1,Stormy,False,1
425,2415,142,Electronics,3,710.32,9,Sunny,True,1
426,2158,126,Electronics,6,395.34,4,Rainy,True,1
427,2218,168,Electronics,5,236.59,9,Sunny,False,1
428,1400,119,Clothing,2,600.88,7,Sunny,False,0
429,1639,110,Clothing,9,928.9,6,Rainy,False,1
430,4104,173,Clothing,8,929.85,5,Rainy,True,1
431,3735,137,Electronics,3,348.49,9,Sunny,True,1
432,1459,105,Electronics,8,532.4,2,Sunny,False,0
433,1954,171,Clothing,9,219.52,2,Sunny,False,0
434,4954,122,Electronics,3,995.67,9,Sunny,False,1
435,1469,146,Groceries,3,981.31,3,Stormy,False,0
436,4446,189,Electronics,2,653.01,8,Stormy,False,1
437,2045,145,Clothing,8,806.37,9,Sunny,True,0
438,3797,111,Electronics,1,717.95,8,Rainy,True,0
439,2693,189,Electronics,8,597.23,4,Stormy,False,0
440,3085,112,Clothing,7,62.81,1,Sunny,False,1
441,3277,161,Clothing,7,460.22,4,Cloudy,False,0
442,4436,181,Groceries,3,678.04,9,Stormy,False,0
443,1562,188,Electronics,1,680.76,2,Sunny,False,1
444,3485,196,Electronics,4,379.39,3,Sunny,False,1
445,2799,159,Clothing,9,942.28,8,Stormy,False,0
446,4354,142,Clothing,5,175.68,6,Rainy,True,1
447,3074,175,Electronics,1,505.36,8,Sunny,False,0
448,1225,199,Electronics,5,693.98,7,Sunny,False,1
449,4348,167,Electronics,8,700.16,5,Rainy,False,1
450,1797,104,Groceries,8,652.15,9,Rainy,False,0
451,4680,136,Electronics,5,282.54,4,Cloudy,True,1
452,3331,171,Electronics,9,164.64,6,Stormy,False,0
453,3926,191,Electronics,1,639.58,2,Sunny,True,1
454,1959,130,Electronics,4,603.31,2,Rainy,False,0
455,2504,108,Electronics,3,187.56,2,Rainy,False,1
456,1452,150,Clothing,2,708.09,7,Rainy,False,0
457,4067,128,Electronics,8,460.62,2,Sunny,False,1
458,4900,177,Groceries,7,671.08,2,Stormy,False,0
459,1815,139,Electronics,9,838.99,9,Cloudy,False,1
460,1658,140,Clothing,2,178.03,7,Rainy,False,1
461,4587,185,Groceries,4,28.95,3,Rainy,True,0
462,1546,110,Clothing,6,781.31,3,Sunny,False,1
463,2215,122,Clothing,3,613.6,7,Rainy,False,0
464,4120,100,Electronics,8,702.64,5,Rainy,False,0
465,4583,145,Electronics,3,839.77,6,Rainy,False,1
466,1016,120,Clothing,2,804.78,8,Stormy,False,0
467,4243,189,Groceries,3,961.31,9,Rainy,False,0
468,2243,135,Clothing,6,540.58,1,Sunny,True,1
469,3205,153,Clothing,2,493.61,3,Cloudy,False,0
470,3524,186,Clothing,8,407.87,7,Sunny,False,0
471,2069,156,Electronics,1,162.15,6,Sunny,False,1
472,4444,100,Electronics,7,576.88,7,Sunny,False,0
473,3565,162,Clothing,2,284.24,8,Rainy,False,0
474,3146,153,Groceries,6,922.09,6,Cloudy,False,1
475,4963,154,Electronics,2,587.36,3,Rainy,False,0
476,2768,139,Clothing,2,596.91,2,Cloudy,True,1
